what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1433167532186
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1433167532186
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepOver",1433167533621
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1433167533740
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1433167533901
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1433167535404
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1433167535659
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433167537436
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433167540666
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1433167541812
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1433167541813
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433167550554
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433167551296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433167557147
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433167563458
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1433167570814
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1433167571039
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433167572083
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433167580605
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1433167580642
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1433167580829
